"Save and Continue Edit","Save and Continue Edit"
"Blacklist Item Information","Blacklist Item Information"
General,General
Email,Email
"Blacklist View","Blacklist View"
"Current Time","Current Time"
"No cron jobs found","No cron jobs found"
"Learn more","Learn more"
"Cron (Last 5)","Cron (Last 5)"
Continue,Continue
"Rule Information","Rule Information"
Name,Name
"Start Event","Start Event"
"New Rule","New Rule"
"Queue Item Information","Queue Item Information"
Subject,Subject
Body,Body
"Queue View","Queue View"
"Google Analytics","Google Analytics"
"Campaign Source","Campaign Source"
"<b>Required.</b> Use <b>utm_source</b>
                to identify a search engine, newsletter name, or other source.<br/>
                <i>Example:</i> utm_source=google","<b>Required.</b> Use <b>utm_source</b>
                to identify a search engine, newsletter name, or other source.<br/>
                <i>Example:</i> utm_source=google"
"Campaign Medium","Campaign Medium"
"<b>Required.</b> Use <b>utm_medium</b>
                to identify a medium such as email or cost-per- click<br/>
                <i>Example:</i> utm_medium=cpc","<b>Required.</b> Use <b>utm_medium</b>
                to identify a medium such as email or cost-per- click<br/>
                <i>Example:</i> utm_medium=cpc"
"Campaign Name","Campaign Name"
"<b>Required.</b> Used for keyword analysis.
                Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/>
                <i>Example:</i> utm_campaign=spring_sale","<b>Required.</b> Used for keyword analysis.
                Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/>
                <i>Example:</i> utm_campaign=spring_sale"
"Campaign Term","Campaign Term"
"Used for paid search. Use <b>utm_term</b>
                to note the keywords for this ad.<br/>
                <i>Example:</i> utm_term=running+shoes","Used for paid search. Use <b>utm_term</b>
                to note the keywords for this ad.<br/>
                <i>Example:</i> utm_term=running+shoes"
"Campaign Content","Campaign Content"
